"2006-2007","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013","2013-2014","2014-2015","2015-2016","2016-2017"
25.9,26.0,26.7,27.0,26.0,28.0,29.0,29.0,28.0,27.0,29.0
20.5,19.9,20.1,20.0,19.0,19.0,19.0,18.0,17.0,17.0,18.0
